image_id,true_naip_year,longitude,latitude,modeled_naip_year
286_6_1_0_17_929_13766,2005,-78.0677322806,35.5430411708,2008.0
286_6_1_0_17_929_13768,2006,-78.0675446123,35.5481919156,2008.0
286_6_1_0_17_929_13869,2005,-78.0580051819,35.808297666,2008.0
286_6_1_0_17_930_13533,2005,-78.0861450366,34.9428684652,2008.0
286_6_1_0_17_930_13592,2005,-78.0807448107,35.0948308268,2008.0
286_6_1_0_17_932_13749,2005,-78.0598777741,35.4990296944,2008.0
286_6_1_0_17_932_13847,2005,-78.0506160802,35.7514100475,2009.0
286_6_1_0_17_933_13498,2012,-78.0799560807,34.8524943981,2012.0
286_6_1_0_17_933_13543,2005,-78.0758460099,34.968399391,2008.0
286_6_1_0_17_933_13564,2005,-78.0739199317,35.0224874845,2008.0
286_6_1_0_17_934_13497,2005,-78.0769227932,34.8498436283,2008.0
286_6_1_0_17_934_13596,2005,-78.0678410408,35.1048305454,2008.0
286_6_1_0_17_935_13845,2005,-78.0413295426,35.7460267848,
286_6_1_0_17_936_13427,2005,-78.0770405906,34.6693927616,2010.0
286_6_1_0_17_936_13525,2005,-78.0681116504,34.9218116477,2008.0
286_6_1_0_17_936_13745,2005,-78.0476581119,35.4884205771,2008.0
286_6_1_0_17_936_13771,2005,-78.0452029419,35.5553792463,2008.0
286_6_1_0_17_937_13430,2005,-78.0736510564,34.6770452217,2014.0
286_6_1_0_17_938_13532,2005,-78.0612141677,34.9396898788,2008.0
286_6_1_0_17_939_13447,2006,-78.0658689533,34.7206827284,2008.0
286_6_1_0_17_939_13577,2014,-78.0539322179,35.0555152076,2014.0
286_6_1_0_17_939_13903,2006,-78.0231182666,35.895074417,2008.0
286_6_1_0_17_940_13443,2005,-78.0631140627,34.7103046755,2008.0
286_6_1_0_17_940_13535,2005,-78.0546822664,34.9472651441,2008.0
286_6_1_0_17_940_13598,2005,-78.048851283,35.1095251763,2008.0
286_6_1_0_17_941_13447,2005,-78.0596300702,34.7205322594,2008.0
286_6_1_0_17_941_13532,2005,-78.051831091,34.9394624597,2008.0
286_6_1_0_17_942_13556,2005,-78.0464837438,35.0012001975,2008.0
286_6_1_0_17_942_13562,2005,-78.0459277674,35.016653506,2008.0
